,rentals,MoM,YoY
,Manhattan,,
,All Downtown,,
,All,,
2012-12,3266.5045360588,-0.0034389417870069883,0.04709632734387248
2013-01,3268.4576566626,0.0005979237384303726,0.045931629496341664
2013-02,3283.156702944,0.004497242377130561,0.04503754672449101
2013-03,3291.8147535866,0.002637111605070963,0.039606602186879725
2013-04,3304.0071744743,0.003703859967944867,0.038051945718324376
2013-05,3333.7338452313,0.008997156842351695,0.03800381607203618
2013-06,3345.439140358,0.003511166658803022,0.03824290055200574
2013-07,3355.3801843783,0.002971521406674338,0.034576327115544814
2013-08,3364.928855892,0.0028457793123282116,0.034096229348254736
2013-09,3371.7310008711,0.0020214825544349058,0.03315096483121205
2013-10,3381.8531085003,0.003002050764602693,0.033902400811298916
2013-11,3368.0443508813,-0.004083192609487307,0.027539317754108783
2013-12,3357.0649859408,-0.003259863528111584,0.02772396268926225
2014-01,3366.7650013165,0.0028894333044855447,0.030077594688584952
2014-02,3377.3400687402,0.003141017391937062,0.028686832313470134
2014-03,3395.6669146187,0.005426414132271962,0.03154860428246997
2014-04,3419.2565588306,0.006946984143334056,0.03488169918233841
2014-05,3445.0561452382,0.007545378933607516,0.03339267775264654
2014-06,3464.2832421711,0.005581069254698923,0.03552421575374476
2014-07,3478.1667066189,0.004007600844756265,0.03659392244499138
2014-08,3499.8435483328,0.006232260711555027,0.04009436698923485
2014-09,3499.887353843,1.2516419547026203e-05,0.03800906802434412
2014-10,3495.0089844889,-0.0013938646764568574,0.03345972529208385
2014-11,3489.4873428069,-0.0015798648033539253,0.03605742064941109
2014-12,3488.7689778672,-0.0002058654665076931,0.039231886328673804
2015-01,3501.6416167523,0.0036897366855654923,0.04006119090077842
2015-02,3517.5119588756,0.00453225768376031,0.04150363519291278
2015-03,3537.7956213853,0.005766480042383115,0.04185590352066648
2015-04,3566.8343149409,0.008208132030032234,0.04316077298416365
2015-05,3595.3177117428,0.007985623745568216,0.043616579866860405
2015-06,3615.0747729453,0.005495219834945608,0.043527483243459564
2015-07,3628.7988336428,0.003796342139368525,0.04330790894445902
2015-08,3644.4470268137,0.004312223930911907,0.041317126461205556
2015-09,3641.8853388665,-0.0007029016825742529,0.04057215866321573
2015-10,3637.5088789554,-0.00120170172970413,0.04077239718092995
2015-11,3616.7362277083,-0.005710680561435755,0.03646635519790786
2015-12,3608.6123454113,-0.0022461915344452743,0.03435119043547674
2016-01,3603.1674072468,-0.0015088731188939164,0.028993769667571945
2016-02,3605.2202579053,0.0005697350210183139,0.02493475503569753
2016-03,3619.2377426765,0.003888107735016577,0.02302058400403295
2016-04,3637.1441046598,0.004947550632597553,0.019712098603622774
2016-05,3666.4769100441,0.008064790544515255,0.019792186395345412
2016-06,3686.8420943396,0.0055544286232134255,0.01985223706336492
2016-07,3696.3409984411,0.0025764336682831956,0.018612815946729366
2016-08,3702.6746103098,0.0017134814865216175,0.015977069516361464
2016-09,3692.6730418562,-0.0027011740177630417,0.013945442611190906
2016-10,3662.937452362,-0.008052592026737582,0.006990656037629384
2016-11,3637.9583601885,-0.006819415427744335,0.005867757874520985
2016-12,3627.1082576723,-0.002982470232462453,0.005125491599151655
2017-01,3612.3353422063,-0.004072918263399394,0.002544409938062042
2017-02,3610.1485263234,-0.0006053745501835017,0.0013669812287595562
2017-03,3620.6846355392,0.002918469735795126,0.0003997783416211931
2017-04,3640.2054835585,0.005391479784704556,0.0008416985444095193
2017-05,3658.4724401822,0.005018111396789315,-0.0021831502170304162
2017-06,3675.7451888201,0.0047213007396713635,-0.0030098673161340628
2017-07,3687.5102733143,0.0032007345149995814,-0.0023890450395470664
2017-08,3699.2352381397,0.003179642619642653,-0.0009288885824649817
2017-09,3685.5451966864,-0.003700776125874272,-0.0019302670691411228
2017-10,3660.0306357752,-0.006922872885710141,-0.0007935752724702594
2017-11,3631.8258407991,-0.007706163631640228,-0.0016857035683833788
2017-12,3611.6641372051,-0.005551396040941237,-0.004257970639429343
2018-01,3600.2230430448,-0.0031678178605926144,-0.003353038412569509
2018-02,3608.3511050577,0.0022576551273962853,-0.0004978801433220825
2018-03,3625.834180282,0.004845170194162751,0.0014222571864597189
2018-04,3657.7445951473,0.008800847826642144,0.004818165256883944
2018-05,3693.9054610533,0.009886110132996784,0.00968519551546354
2018-06,3724.3664644695,0.008246286684206128,0.013227596895803106
