,rentals,MoM,YoY
,Manhattan,,
,All Midtown,,
,All,,
2012-11,2962.6934032392,0.0003836767105296346,0.04626813940596808
2012-12,2964.3888264671,0.0005722574013382609,0.044687771981424484
2013-01,2962.5122198923,-0.0006330500769821112,0.04292179764927795
2013-02,2977.6832520059,0.005121002374853134,0.0449975126716633
2013-03,2980.1929697253,0.0008428424069983897,0.038143464416621864
2013-04,2991.0051228307,0.0036280043659042693,0.03455202807740987
2013-05,3011.9317152817,0.0069965083948750895,0.0361518500573168
2013-06,3031.7348176209,0.006574884230849065,0.03860001905453769
2013-07,3043.3551093531,0.003832885272373243,0.0352689089069993
2013-08,3050.6449119778,0.0023953177867073183,0.03418071254383892
2013-09,3056.1030844291,0.0017891864208350317,0.03329044302974582
2013-10,3047.3552386195,-0.0028624184354808513,0.02897060982423194
2013-11,3038.2975055181,-0.0029723259653520184,0.025518706119316947
2013-12,3025.904554136,-0.004078913062197542,0.020751571831490567
2014-01,3025.0579237564,-0.0002797941456688102,0.021112386792576432
2014-02,3033.8874959299,0.0029188109438036403,0.018875158694645622
2014-03,3050.6582049937,0.005527795307604055,0.02364452100391845
2014-04,3073.4011763523,0.007455103072960156,0.02754794797663851
2014-05,3103.0047442082,0.00963218472215055,0.030237414900351478
2014-06,3120.6132121678,0.005674650672857107,0.029316018680237477
2014-07,3134.4863946769,0.004445659095143828,0.029944348276587096
2014-08,3150.8472793519,0.005219638120868675,0.032846289969925335
2014-09,3154.6698771258,0.0012131967801012333,0.03225244370809999
2014-10,3150.2876427665,-0.0013891261304630476,0.033777618980066704
2014-11,3139.4345956736,-0.0034450971859093515,0.03328742164709575
2014-12,3131.0560653642,-0.0026688023126668625,0.03475043886776663
2015-01,3141.1180692314,0.0032136134445199804,0.03836625558920903
2015-02,3156.3777135273,0.004858029516742635,0.040374014449028106
2015-03,3174.1979779893,0.005645795934253295,0.04049610434671913
2015-04,3192.6698323507,0.005819376891261552,0.038806732071325456
2015-05,3225.0370109577,0.010137966124473596,0.039327128641126086
2015-06,3249.5221278358,0.007592197173212689,0.04130884121279821
2015-07,3255.4771518485,0.0018325845396431895,0.038599866752355494
2015-08,3266.0022907012,0.0032330556664246224,0.036547316051759315
2015-09,3266.3618484684,0.00011009109461546096,0.03540528032821033
2015-10,3252.2602155391,-0.004317229254900856,0.03236928951765505
2015-11,3238.7801220098,-0.004144838554090202,0.03164440070613539
2015-12,3220.8486898476,-0.005536477157045416,0.028678063442136192
2016-01,3222.5092139085,0.0005155548182484981,0.025911520319583436
2016-02,3224.3719080177,0.0005780259994792036,0.02154184342355392
2016-03,3226.41561824,0.0006338320394176922,0.016450656390304186
2016-04,3246.0439576327,0.006083636367780532,0.0167177090287165
2016-05,3272.6786486074,0.008205277353706686,0.014772431289262089
2016-06,3289.3066193571,0.005080844328169798,0.01224318221454812
2016-07,3301.9359944628,0.0038395250328375763,0.014270977938800833
2016-08,3299.0757493662,-0.0008662327499371347,0.010126587712190327
2016-09,3287.0636070561,-0.0036410628984216986,0.006337864433913598
2016-10,3279.6767599732,-0.002247247989677792,0.008429997176457649
2016-11,3249.9173726099,-0.00907387817192784,0.003438717721037765
2016-12,3232.9032452731,-0.0052352492036241705,0.003742664305683485
2017-01,3223.1451029384,-0.0030183836614866566,0.00019732729611932065
2017-02,3211.4481842203,-0.003629038825287978,-0.004008136829769637
2017-03,3208.0024269001,-0.001072960584303062,-0.005707011593858002
2017-04,3225.5937260163,0.0054835678953018,-0.006300047652870955
2017-05,3249.3949112419,0.0073788540179842155,-0.0071145810100872175
2017-06,3269.9866297791,0.006337093243409475,-0.00587357513717468
2017-07,3283.046992034,0.003994010903886291,-0.005720584063554135
2017-08,3292.1134015088,0.0027615838264876125,-0.0021103934514803413
2017-09,3286.0625243739,-0.0018379917083436448,-0.00030455226970693694
2017-10,3262.9373023104,-0.007037365202874901,-0.0051039961825192215
2017-11,3238.2509581234,-0.00756568143970171,-0.003589757261161175
2017-12,3229.0786811454,-0.002832478735161237,-0.001183012245507764
2018-01,3210.260630111,-0.005827684269286704,-0.0039974845735781805
2018-02,3221.7784875933,0.0035878262887028,0.003216711832300101
2018-03,3225.8652278688,0.0012684733886074717,0.0055682005783146415
2018-04,3238.3772908999,0.0038786688678145165,0.003963166464670653
2018-05,3275.194448377,0.011369014222202933,0.00793979735914574
2018-06,3304.5818186354,0.008972710085339397,0.010579611714998771
