,rentals,MoM,YoY
,Manhattan,,
,All Upper Manhattan,,
,All,,
2010-10,1631.0521848285,0.010033764022811198,0.021993514232639066
2010-11,1631.3444948728,0.0001792156296522851,0.03268582872762238
2010-12,1653.2264177711,0.013413428596518617,0.05438295478776922
2011-01,1685.8977795203,0.0197621822383216,0.07015484482311884
2011-02,1683.4520950054,-0.0014506718880642477,0.0674708187184907
2011-03,1687.4612581037,0.002381513029206195,0.06237147610604188
2011-04,1683.2428732526,-0.0024998410072183397,0.061278399286247565
2011-05,1697.5412678677,0.008494552296823832,0.05385629996972119
2011-06,1710.2454446305,0.007483869172004276,0.059171620035114225
2011-07,1724.9119753653,0.008575687648136654,0.06946931420864266
2011-08,1738.7626673383,0.008029796401678224,0.07489536623215431
2011-09,1757.1536864135,0.010577072662454334,0.08812248213958829
2011-10,1752.5453172546,-0.0026226329515355307,0.0744875814251611
2011-11,1755.6004645996,0.0017432629643985287,0.07616782973634795
2011-12,1761.7872539775,0.003524030383138088,0.06566604249692753
2012-01,1772.8008419399,0.006251372257084498,0.05154705313410357
2012-02,1770.3800318965,-0.0013655284824611869,0.05163671550203586
2012-03,1782.4262368128,0.006804304555669605,0.056276834951350496
2012-04,1790.6656901815,0.004622605524160717,0.06381896435499068
2012-05,1802.1537118788,0.006415503329454841,0.06162586205783671
2012-06,1810.5138157907,0.004638951637029987,0.058628059191739634
2012-07,1819.1439649659,0.004766685070244137,0.054630028051514845
2012-08,1835.3629405943,0.008915718569147968,0.05555690553436832
2012-09,1836.4727765599,0.0006046956386951408,0.045140667409859336
2012-10,1836.376174916,-5.2601729322088175e-05,0.04783377458833593
2012-11,1839.7331980454,0.0018280694202283954,0.04792248301494295
2012-12,1837.7498707093,-0.0010780516099874182,0.043116793222509164
2013-01,1845.8911188259,0.004430008809336972,0.041228701587269434
2013-02,1859.6287624848,0.0074422827645641565,0.050412187767783
2013-03,1865.6711725103,0.0032492560598096354,0.046703158861907346
2013-04,1869.3423898148,0.001967772970174808,0.04393712353159884
2013-05,1890.1733376102,0.011143463021487277,0.04884135307172932
2013-06,1900.3299984682,0.005373401822946766,0.04960811781393404
2013-07,1909.7516372981,0.004957896174608845,0.049807862421651805
2013-08,1929.5775297217,0.010381398311902768,0.05133294731171434
2013-09,1934.8995754288,0.002758140383127161,0.0535955665257799
2013-10,1938.3300073373,0.0017729250406908204,0.05551903461498764
2013-11,1944.479534375,0.0031725903300374725,0.05693561242515277
2013-12,1953.3376338565,0.004555511809152035,0.06289635221282186
2014-01,1962.7442288365,0.0048156523567453036,0.063304443484687
2014-02,1955.9863415408,-0.003443080966135992,0.05181549188734236
2014-03,1966.1695774409,0.005206189677213313,0.05386715859224922
2014-04,1988.5038823243,0.011359297356472009,0.06374514008710075
2014-05,2000.4248593452,0.0059949478232679265,0.05832878897466309
2014-06,2009.4520708171,0.004512647115800572,0.05742269628793961
2014-07,2020.2200802029,0.005358679384386278,0.057844402773278736
2014-08,2039.003327335,0.009297624212414313,0.05670971802261926
2014-09,2044.0388386052,0.002469594435032807,0.056405647384677904
2014-10,2047.5611752328,0.0017232239236724123,0.05635323576584961
2014-11,2051.9832574409,0.002159682583157796,0.05528663128895017
2014-12,2062.81888113,0.005280561451857846,0.056048296708106626
2015-01,2069.3202553434,0.0031516941564149192,0.05429949809103607
2015-02,2087.6589003196,0.008862158928201636,0.06731772915912937
2015-03,2089.1113963795,0.0006957535350615718,0.06252859384520493
2015-04,2101.9123542564,0.0061274654377379,0.05703205960027602
2015-05,2117.866827183,0.007590455850498445,0.05870851248881315
2015-06,2134.7914776623,0.007991366719602322,0.0623749173545769
2015-07,2160.2156309237,0.011909431683341909,0.06929717811078251
2015-08,2166.7120344581,0.0030072940133398784,0.06263290766181173
2015-09,2173.8038903289,0.003273095712773566,0.06348463114930247
2015-10,2173.9090646311,4.8382608324626375e-05,0.061706527222042507
2015-11,2183.5788482568,0.004448108609060419,0.06413092813438315
2015-12,2182.6449693178,-0.0004276827190121679,0.058088516293858916
2016-01,2187.5869815907,0.002264230941069867,0.05715245184591988
2016-02,2197.6004706463,0.00457741298511416,0.05266261184232213
2016-03,2203.0685382976,0.0024881991628313838,0.054548140475223716
2016-04,2208.3491217342,0.002396921995300394,0.05063806169760787
2016-05,2223.9952371576,0.0070849827454426695,0.0501109931051531
2016-06,2231.4097644472,0.003333877323890233,0.04525888724771443
2016-07,2238.270687863,0.003074703501398268,0.03613299330952646
2016-08,2248.5014454753,0.004570831252795227,0.03774816852284468
2016-09,2259.1833770848,0.0047506892339321816,0.039276536000210305
2016-10,2252.9607497976,-0.0027543701632710693,0.0363638417322274
2016-11,2255.3831072981,0.001075188505045066,0.03288374912525982
2016-12,2262.2575923595,0.003048034295882962,0.03647529678937356
2017-01,2244.8370361483,-0.007700518398097489,0.026170412897580153
2017-02,2242.2738674922,-0.0011418061154664372,0.02032826141175792
2017-03,2250.0746868988,0.003478977086471602,0.021336671004127616
2017-04,2252.5491070539,0.0010997057873267657,0.020014944595803108
2017-05,2270.2626183722,0.007863762553646403,0.020803723156229692
2017-06,2280.7225154989,0.0046073511681217205,0.02209937046856858
2017-07,2297.0890659819,0.007176037580976846,0.02627849189011955
2017-08,2308.1568078625,0.004818159663247057,0.02653116479299822
2017-09,2303.739395746,-0.0019138266955922578,0.019722178869204354
2017-10,2307.8999740178,0.0018060108185340429,0.024385344584958224
2017-11,2287.685062855,-0.008759006625234322,0.01432215903913403
2017-12,2288.3770174964,0.00030246936199196384,0.011545734325355106
2018-01,2282.6089343267,-0.0025206000259567762,0.016826120368723663
2018-02,2296.4654787789,0.00607048550622058,0.02416815005176365
2018-03,2306.1948223915,0.0042366600771954754,0.02494145453013763
2018-04,2313.5067550415,0.0031705615583759172,0.02706162888822705
2018-05,2333.4587217041,0.008624122933343914,0.027836472670819123
2018-06,2351.9725232077,0.007934059999175735,0.031240103618310755
