,rentals,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
2010-01,2587.1037071515,0.009575488675050314,-0.030897686302053806
2010-02,2593.9764836495,0.002656552375152721,-0.022099959782448275
2010-03,2589.9303803577,-0.001559807236998445,-0.01290103727908909
2010-04,2598.346323341,0.0032494861819944987,0.0007515899253929259
2010-05,2625.1001998824,0.010296501394394308,0.013874803027936533
2010-06,2644.5414950148,0.007405924975081302,0.023369054874043504
2010-07,2672.9818512404,0.010754361873017482,0.02771867219935298
2010-08,2698.9666764298,0.00972128754908752,0.04104115605390035
2010-09,2712.9544819528,0.005182652177648794,0.04508449210987542
2010-10,2719.8130730559,0.0025280892653101183,0.04931897755851056
2010-11,2720.2684668908,0.0001674357107153135,0.059371304334886466
2010-12,2728.3417699471,0.002967833195349101,0.06469136434413314
2011-01,2733.3195710677,0.0018244785808840813,0.0565172024267977
2011-02,2741.8069310292,0.0031051473275716113,0.0569898949784291
2011-03,2760.7720951144,0.006917031199596968,0.06596382514849886
2011-04,2787.164373433,0.009559745393437291,0.07266854629648245
2011-05,2798.3166142352,0.004001285646624275,0.06598468674093283
2011-06,2820.6478089272,0.007980224460091279,0.06659238066196971
2011-07,2843.8437012338,0.008223604603589951,0.06392181447626033
2011-08,2860.1532117187,0.005735023509844783,0.059721572962181835
2011-09,2867.1253446895,0.002437678143336397,0.056827662890136965
2011-10,2882.1077553696,0.005225586215772182,0.05967126341199269
2011-11,2876.5106265817,-0.0019420262054644644,0.057436301450599414
2011-12,2866.6587191784,-0.003424950810978711,0.050696342648443915
2012-01,2871.7313986506,0.001769544256615907,0.050638728470682626
2012-02,2878.7888790494,0.002457569813846705,0.04996046456443248
2012-03,2886.2020928977,0.002575115494661828,0.04543294175034118
2012-04,2914.4459119333,0.009785807828599946,0.04566703697619556
2012-05,2923.4064412337,0.003074522420783543,0.04470181335527257
2012-06,2941.6150052203,0.006228543431311628,0.04288631707590196
2012-07,2967.125703712,0.00867234442523146,0.043350484565911396
2012-08,2984.5618479182,0.005876442708304008,0.04349719297895294
2012-09,2986.6731846723,0.0007074193337870405,0.04169606334240927
2012-10,2982.1873294112,-0.0015019571890628747,0.034724438687326664
2012-11,2975.0004593211,-0.0024099324744696338,0.03423934256639294
2012-12,2969.2418471919,-0.0019356676437335407,0.035784911307091605
2013-01,2975.9492891401,0.0022589746114967113,0.03629096040753366
2013-02,2994.6432367248,0.0062816754482066806,0.04024413131457427
2013-03,3010.5917857954,0.00532569251489301,0.04309805373774611
2013-04,3021.4951749623,0.0036216763821466103,0.03673057118359391
2013-05,3041.7607179058,0.006707124046210877,0.040485057090506205
2013-06,3065.2222846739,0.007713153316100785,0.04202020972637199
2013-07,3083.241550825,0.005878616451797436,0.03913411789993737
2013-08,3095.4206796752,0.00395010531916995,0.03714408928544288
2013-09,3104.8584754021,0.003048954149873495,0.03957088152005728
2013-10,3099.9058744123,-0.0015951132810195778,0.03947389348755026
2013-11,3104.7353014408,0.0015579269900947157,0.04360834355948495
