,rentals,MoM,YoY
2015-09,2868.0926333871,0.0001636557498101432,0.040616423314955075
2015-10,2865.8555800322,-0.0007799794640027669,0.038183979187401906
2015-11,2858.5537225055,-0.0025478804925048726,0.036214660476444616
2015-12,2859.6082140467,0.0003688898805358498,0.03758487028237378
2016-01,2860.764928428,0.000404500999688695,0.038053728880137916
2016-02,2853.311507902,-0.002605394260791538,0.03050717047923346
2016-03,2866.9889869749,0.004793545687185485,0.03123283212542649
2016-04,2876.3945238299,0.003280632362988145,0.028172103949576144
2016-05,2894.8459583671,0.00641477877402985,0.027444933655886405
2016-06,2904.3125310267,0.0032701472878853277,0.02355706779670963
2016-07,2906.1511602205,0.0006330686433220212,0.01986480091950571
2016-08,2906.6508388438,0.00017193827703798625,0.01360970532289607
2016-09,2892.2798259457,-0.0049441827363814195,0.00843319782528651
2016-10,2884.5336277159,-0.00267823263859579,0.006517442055991474
2016-11,2877.2586849183,-0.0025220516508107638,0.006543505642568448
2016-12,2858.1537074603,-0.0066399929760024845,-0.0005086384139111333
2017-01,2864.7595658172,0.0023112327163010704,0.0013963528948164328
2017-02,2869.1442519424,0.001530559903706763,0.0055489013367635565
2017-03,2874.9387680747,0.002019597351502034,0.0027728676796168195
2017-04,2892.3682168513,0.006062546086250231,0.005553373464266986
2017-05,2907.7169164239,0.005306620188666233,0.00444616336824355
2017-06,2921.8376582302,0.004856298674241755,0.006034174014083904
2017-07,2931.1007301788,0.0031702897395780028,0.00858509023887355
2017-08,2925.2106742329,-0.002009503080278141,0.006385299238928388
2017-09,2916.2779280031,-0.003053710390326869,0.008297296078381144
2017-10,2900.0903738092,-0.005550758395988731,0.0053931581673460904
2017-11,2888.5538242305,-0.003977996576550513,0.0039256599941486225
2017-12,2887.6410120456,-0.00031601010070969604,0.010316906507978452
2018-01,2897.8894984785,0.003549086049875916,0.01156464684038827
2018-02,2904.0741531639,0.00213419272496318,0.012174327309563804
2018-03,2913.9179273313,0.0033896428425133074,0.013558257201666812
2018-04,2930.8872674781,0.005823547735382295,0.013317478183580977
2018-05,2945.9870591554,0.005151952395048065,0.013161577908542554
2018-06,2963.995087899,0.00611273178802163,0.014428395619466183
