,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
2012-08,2805.5786807993,1740.3906968595,2291.1055276813,2834.0315545102,3600.7364576943,5821.0301116125,0.0048419682999643054,0.0049861427329640495,0.0032760303497063603,0.006925933056401101,0.004595968824433472,0.001017906091046017,0.05070170923590056,0.061323876579938874,0.049382384829470105,0.05210646052787915,0.04528823189209885,0.03954868389531474
2012-09,2810.1770663673,1745.1222448192,2299.7631468539,2837.1615277314,3608.4976253424,5825.7205858123,0.0016390150094418576,0.002718669990731337,0.0037787954627135356,0.0011044242666313764,0.0021554389606925906,0.000805780782759058,0.046317384811021434,0.05641091492621708,0.04768802360119895,0.04412317055117687,0.0420934987542243,0.03864691728742242
2012-10,2812.9360977081,1745.2073652313,2304.9577183575,2843.5234233249,3601.8854666765,5837.0946107257,0.0009817998210222,4.8776188804389164e-05,0.0022587419537993814,0.0022423452212065875,-0.00183238548349407,0.0019523807820613914,0.04294257436518745,0.04975604949473911,0.04272225834239096,0.03987526584954937,0.03682118725270844,0.040750031068076176
2012-11,2816.1744807802,1749.1896506288,2307.8486343768,2848.7693806112,3600.024382033,5843.9190256738,0.001151246583503518,0.0022818408155023118,0.0012542165074334033,0.001844879223877216,-0.0005166973410781761,0.0011691458513556352,0.045469150539669156,0.052696704578687026,0.044113800078052545,0.043229761525851895,0.04203919858201011,0.039262928892967786
2012-12,2812.7581953775,1750.1449912851,2306.9901336899,2832.1780521506,3587.7101762901,5856.0310969119,-0.0012130943682698847,0.00054616185040679,-0.00037199176501956366,-0.005824033554109875,-0.0034205895394369135,0.0020725939536274662,0.04407947740745888,0.05093653761495642,0.045253002670677445,0.04242440178283058,0.03639540257948859,0.039492580632726204
2013-01,2816.3432644256,1756.2133142935,2306.4750332777,2823.8350391254,3585.8220172184,5884.0408412765,0.001274574207619894,0.003467325872209104,-0.00022327811665867614,-0.0029457939690142876,-0.0005262852847418564,0.004783059362401643,0.04229780079345424,0.0497244236918446,0.040269062016061064,0.03775097390923143,0.037413857688930685,0.04310372845600119
2013-02,2827.555027282,1761.2995859219,2316.4681517438,2843.1802904396,3603.7975323434,5900.8466878953,0.003980964606843385,0.0028961582212159165,0.004332636738711537,0.006850701633120737,0.005012941255501557,0.00285617436590635,0.042739285474383326,0.0470954461296611,0.039225121917707995,0.042924475967025755,0.037470001050046164,0.044141444272737695
2013-03,2834.4209788575,1771.1206565947,2320.4171395622,2848.4240251004,3618.2216990032,5911.5089828697,0.002428229162386941,0.005576036439967513,0.0017047451377336653,0.0018443201363038675,0.004002490853147522,0.0018069093366333,0.03878331155882586,0.04445194307411837,0.03860488167686782,0.036426893456606546,0.034111973416286245,0.04005533215472279
2013-04,2844.5988723451,1778.519080666,2318.1409423903,2855.3420944719,3638.7431746513,5937.6694312394,0.0035908192761482383,0.00417725582034878,-0.0009809430955718401,0.0024287357888215233,0.005671702110944032,0.004425341895869073,0.036936188416907045,0.04559144735216325,0.0337734667224352,0.03452888236492013,0.03203418131631541,0.036794930838666806
2013-05,2868.0820323104,1793.1667432097,2337.3446562195,2880.6754300767,3663.290739504,5965.654510594,0.008255350233595582,0.008235875961597694,0.00828410105616717,0.008872259353387868,0.006746165825526562,0.004713142029659778,0.0374165321990636,0.04737515642493251,0.03484104219273432,0.036161612252203934,0.03247652797197431,0.03332488294356439
2013-06,2880.401241735,1798.2203716001,2345.6374357251,2897.6582093566,3672.879143114,6001.2929353161,0.004295277919466045,0.0028182701968664237,0.0035479489443432932,0.005895415742636301,0.002617429052682363,0.005973933733308234,0.03843991684286019,0.04692909509616516,0.03313569227808766,0.03677371011386765,0.032333855979100656,0.036145840136919904
2013-07,2893.9664333284,1806.36258008,2360.4509930561,2907.8121947006,3694.3793162106,6016.7703597483,0.004709479844977826,0.004527925836283808,0.006315365326875488,0.003504203950353002,0.00585376546813654,0.0025790149887734426,0.036498796829773195,0.04308151325306531,0.033642437476484544,0.03314005189604008,0.030722079213226117,0.034678527934550285
2013-08,2902.1055482844,1817.6247252643,2374.7058843325,2917.9435758723,3695.4985382346,6020.1655844638,0.002812442764458467,0.006234709082492795,0.0060390541122585795,0.0034841937832725822,0.0003029526554267914,0.0005642935516059211,0.034405332541805445,0.044377408213090996,0.03648909037193371,0.029608711035189028,0.02631741635459206,0.03420966204143827
2013-09,2910.6233334865,1826.9843218676,2385.0153742094,2924.8103777331,3707.859973892,6016.3258546918,0.002935036324621443,0.005149355900150976,0.004341375470924058,0.0023533017970531755,0.0033449981185234012,-0.0006378113223179938,0.035743750214660475,0.046909078886265165,0.037070003261912454,0.03089314765655371,0.027535655795303926,0.03271788718183477
2013-10,2911.5306253258,1829.5052672925,2389.2105485954,2922.926593025,3712.005272729,6019.310549108,0.0003117173661262296,0.0013798396596655937,0.0017589716323695992,-0.000644070713931244,0.0011179761010899902,0.0004960991954703342,0.035050397233705954,0.04830251335206115,0.03655287451343692,0.027924218611589557,0.030572822781649522,0.03121688965730951
2013-11,2906.6827373004,1831.3088191067,2381.9525488316,2904.9867138375,3701.5678357043,6019.3372303615,-0.0016650650977980685,0.0009858139500571461,-0.0030378234216599243,-0.006137642741459892,-0.002811805549248758,4.432609562510237e-06,0.03213872476222601,0.04694697824697247,0.03210952111459009,0.01973390110442641,0.028206323873272154,0.030017220279241252
2013-12,2896.7169229915,1825.5499709708,2371.8266446509,2895.5234331598,3675.5515352205,5994.7905341546,-0.003428586883945872,-0.0031446624817267343,-0.004251093996673783,-0.00325759860884145,-0.007028454330312073,-0.00407797324979331,0.02984925179561393,0.043084990135777934,0.028104372885764173,0.02236631307876258,0.024483961806868404,0.02369513326455408
2014-01,2900.2037524213,1828.1748485682,2370.4808064625,2903.2888006573,3680.1456022523,6014.0488919699,0.0012037176992081289,0.0014378557909342504,-0.0005674268781132863,0.0026818527553844618,0.001249898685347528,0.0032125155508899716,0.029776373162667014,0.04097539500983083,0.027750473021094235,0.028136828260516333,0.02630459196830648,0.0220950286037096
2014-02,2906.3460978973,1825.6239723816,2372.6849167787,2908.980376943,3687.1388471174,6021.4765209082,0.002117901361541108,-0.0013953130296032734,0.0009298157193220469,0.001960389295206033,0.0019002630930744502,0.0012350463176675763,0.027865442000270413,0.03652097972079593,0.024268309060317073,0.02314312839205357,0.023125970320482248,0.02044280073575777
2014-03,2918.6045408156,1831.2222485558,2379.7091626991,2919.1458614693,3707.7650012446,6065.1301547591,0.0042178193874324865,0.0030665001440011164,0.002960463005739822,0.0034945180816183807,0.005594081205627877,0.0072496560767649765,0.029700444142222393,0.03393421658615625,0.025552312179561998,0.024828408883543096,0.02474787608124429,0.025986794968012594
2014-04,2938.5750448079,1846.3516337207,2395.9026747396,2938.1753193629,3741.3750120619,6088.330699181,0.006842483698294766,0.008261905498817335,0.006804828209399094,0.006518844482824804,0.009064762951810135,0.0038252343857279048,0.033036704533784045,0.03813990740504103,0.0335448681861068,0.0290099127006076,0.028205298501297937,0.025373805276012407
2014-05,2963.3082550602,1863.9880663437,2410.1198056534,2966.1489568552,3779.2322699363,6141.4285948771,0.008416735960512511,0.009552044313173358,0.005933935073278773,0.009520751640635705,0.010118541379132262,0.00872125683042202,0.03320205687181477,0.03949511299057029,0.031135822969133198,0.029671349255832036,0.03164955737255992,0.029464341921067394
2014-06,2977.1962809555,1868.135979725,2416.9893827137,2983.8514917699,3811.8117447899,6172.6798795514,0.004686662574365785,0.002225289665848784,0.002850305218929705,0.00596818810255173,0.008620659574900769,0.005088601811696902,0.03360470680890115,0.038880444927162916,0.030419000780716576,0.029745841705892007,0.037826619461839295,0.028558336692203534
2014-07,2989.3412334668,1872.7785680017,2428.7261292765,3002.5108084321,3820.3708875884,6182.9418654994,0.004079325434130476,0.0024851447255909154,0.004855936334160704,0.006253433427791721,0.002245426419654306,0.0016624847146204935,0.032956429293724776,0.03676780545285574,0.028924615008424137,0.0325669635418977,0.03410358292797944,0.027618056833741633
2014-08,3007.4705002849,1889.365110588,2443.3225234519,3018.4879535066,3830.474367923,6194.5528017712,0.00606463611953556,0.008856649082650714,0.006009897122384977,0.0053212614687783155,0.0026446333698710855,0.00187789834101304,0.03630638177952816,0.03946930536679871,0.02889479474999801,0.034457272740184175,0.03652438995494234,0.028967179533639476
2014-09,3010.0048658839,1891.1126686916,2448.355881637,3022.294274913,3825.4043269177,6195.460386578,0.0008426900941371773,0.0009249446249466331,0.0020600465705153947,0.0012610026824781961,-0.001323606561045687,0.00014651337002735687,0.0341444154776136,0.03510065524724704,0.026557693553064254,0.03332998881638827,0.03170140022907009,0.029774738970713033
2014-10,3009.3201271803,1897.4269512357,2445.6366975302,3017.171257557,3819.1035046795,6186.9441627318,-0.00022748757364510208,0.0033389245646948673,-0.0011106163639013067,-0.0016950756246750798,-0.0016470996788140457,-0.001374590960931621,0.03358697346470718,0.03712571106379903,0.023617068394400142,0.03224325398964756,0.028851853400456928,0.027849304709597122
2014-11,3002.4634804284,1891.3634563547,2444.8400605794,3010.9055760977,3815.3230113365,6164.4107398533,-0.0022784703727497524,-0.003195640747619355,-0.00032573805897029295,-0.0020766741177209447,-0.0009898902552308853,-0.0036420924911905184,0.03295190833828565,0.03279328785043156,0.02640166437347702,0.03646104877370715,0.03073161986522277,0.02410124303387584
2014-12,3001.7145708182,1895.4853170952,2443.4079954764,3005.0595316486,3802.488481821,6180.4027888526,-0.00024943171335189973,0.0021793065350030894,-0.000585750015344777,-0.0019416233094484703,-0.0033639430992774555,0.002594254288720732,0.03624712066040159,0.03830919297553348,0.030179840920049994,0.037829463659103224,0.034535482738887735,0.030962258587768243
2015-01,3009.866926045,1902.9424269751,2449.4870134524,3019.8315049681,3800.9888345158,6199.7113379511,0.002715899541567035,0.003934142782666461,0.0024879258753569555,0.004915700725368399,-0.00039438575879169324,0.0031241570748958836,0.03781223078969709,0.04089738925434672,0.033329190759321836,0.04014161604743394,0.032836535649443555,0.030871456038393807
