,sales,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
2001-02,550826.7904977432,0.014248162410681386,0.17228368910438951
2001-03,539683.124491336,-0.02023079886208401,0.14289749674448182
2001-04,535773.0212295202,-0.007245183487071594,0.12704579477360545
2001-05,528516.8382714477,-0.013543389962825336,0.06941797229378643
2001-06,528659.6630015497,0.0002702368586193771,0.06220739637249162
2001-07,536101.0471803022,0.01407594469474538,0.07074868946415269
2001-08,545538.3287224781,0.017603549912488692,0.09656645229389293
2001-09,550763.8632491204,0.009578675322189145,0.07040812155959664
2001-10,554226.729764322,0.0062873887454655275,0.05083935250221794
2001-11,534004.1612815436,-0.036487898177299916,0.01710599290721171
2001-12,530818.850291375,-0.005964955371366876,-0.003618347665814481
2002-01,532534.5494843578,0.0032321745771481947,-0.01943369939098305
2002-02,544604.1332962345,0.022664414587867387,-0.011296939997935906
2002-03,555613.8099686814,0.02021592565926822,0.029518591103548708
2002-04,555938.0386149704,0.0005835503734279435,0.03763723925324647
2002-05,568987.9408377418,0.023473663099728093,0.07657485937185604
2002-06,579825.7299965705,0.01904748480762497,0.09678451104916408
2002-07,601334.4879378494,0.03709521124805226,0.12168124106574951
2002-08,621392.5430211179,0.03335590338756966,0.1390447019117289
2002-09,631273.2131133004,0.015900850763583607,0.14617761846107924
2002-10,622137.11534376,-0.014472493968947564,0.12253177613486099
2002-11,610090.8801686609,-0.019362669221949513,0.14248338197312682
2002-12,608360.5510605247,-0.002836182549815991,0.1460794030328536
2003-01,607677.5541521049,-0.0011226844134274439,0.14110446869692583
2003-02,606912.5554505909,-0.0012588891860279006,0.11441048340421611
2003-03,595696.4903213606,-0.018480529078695906,0.07214126005064303
2003-04,589873.1082381299,-0.009775753555454458,0.061041100385401226
2003-05,599805.4165541873,0.016838042245600704,0.05416191364455236
2003-06,613322.2998724194,0.022535447238681394,0.05777006459517953
2003-07,600448.5939687652,-0.020990115484684213,-0.0014732133061620134
2003-08,582947.61218875,-0.02914651138466262,-0.06186899290013115
2003-09,591956.305665233,0.015453693073137043,-0.062281919510199124
2003-10,598309.4177581372,0.010732400402027276,-0.03829975257537377
2003-11,598585.6865874369,0.00046174909018636967,-0.018858163521545013
2003-12,609882.5426262253,0.018872579635494047,0.0025017920097669677
2004-01,626648.6490185536,0.027490713736667116,0.031219015309721376
2004-02,642370.3046632361,0.025088469701970206,0.05842315980153079
