,sales,MoM,YoY
,Manhattan,,
,All Upper Manhattan,,
,All,,
2001-12,218695.787206833,0.12671722284391707,0.5649371363800331
2002-01,194499.1870140688,-0.11064044946544904,-0.003402886737477573
2002-02,183437.295107534,-0.056873717964356585,-0.16348058998200732
2002-03,190346.3605808555,0.03766445350860237,-0.04962221706774805
2002-04,200890.2765699351,0.055393315411464084,0.08084874392995345
2002-05,203263.1200723679,0.011811639383187078,0.28017571196436153
2002-06,223441.7539743767,0.09927346335540155,0.4553150869298408
2002-07,215468.9164889017,-0.03568194996531082,0.27300244892807557
2002-08,201591.1755819251,-0.06440715966421728,0.12943047219271286
2002-09,175144.8061353958,-0.1311881304833291,-0.09629830482742097
2002-10,177303.5667878213,0.01232557619069019,-0.08653483945458795
2002-11,252492.2581158022,0.4240675621487018,0.3008361042856773
2002-12,233762.4661912119,-0.07417966817818289,0.0688933206112905
2003-01,244966.1831391792,0.0479277838333676,0.2594715016544513
2003-02,240512.8916147945,-0.018179209339497016,0.3111449962986088
2003-03,242603.3789731359,0.008691789218889356,0.27453647252731495
2003-04,250645.4941276318,0.03314922977798429,0.24767359778299491
2003-05,204561.7311269093,-0.1838603289523173,0.00638881787349832
2003-06,219585.698418128,0.07344466244225267,-0.017257542458652964
2003-07,240256.3932453919,0.09413497771564061,0.1150396872106001
2003-08,250696.401193338,0.04345361139789916,0.24358817031381874
2003-09,252413.9010750464,0.0068509155836817826,0.441172631062309
2003-10,228719.0315241973,-0.0938730769182331,0.28998550716074845
2003-11,226210.2423037165,-0.010968869550391336,-0.10409038284267624
2003-12,252358.7185598561,0.11559368837522332,0.07955191725874822
2004-01,268261.5416322718,0.06301673729827462,0.09509622183179944
2004-02,264029.3740509054,-0.01577627398849346,0.09777639060518606
2004-03,266723.8007632841,0.010205026323545363,0.09942327222416436
2004-04,291753.3551459376,0.0938407232913836,0.16400797932307198
2004-05,295357.49615839,0.012353383256379802,0.4438550873191007
2004-06,312448.6964864063,0.057866147127855205,0.42290093907414494
2004-07,327358.6125335039,0.047719565531124886,0.3625386118201981
2004-08,319999.0557987671,-0.022481634675133533,0.2764405642663479
2004-09,309245.7933088664,-0.03360404443400278,0.22515357510727196
2004-10,310112.0485657436,0.002801186873420125,0.3558646453648322
2004-11,330335.5381930655,0.06521349209376015,0.46030318887836796
2004-12,334587.7130495585,0.012872290035012224,0.32584170247400746
2005-01,339837.4872791843,0.015690277989521384,0.2668140398038401
2005-02,351704.7468689011,0.03492039587724349,0.3320667373967703
2005-03,354089.8415695242,0.006781525475151318,0.32755247396829423
2005-04,373367.3669097133,0.054442469331343446,0.2797363263327397
2005-05,373578.6126766786,0.0005657852980396338,0.2648353860514219
2005-06,376794.820318369,0.008609185677537656,0.20594140591897836
2005-07,387354.155782567,0.028024099310271833,0.18327162002778463
2005-08,396149.5351598647,0.022706299250949025,0.23797095016738168
2005-09,410345.7404037224,0.03583547116401098,0.326924243699833
2005-10,427719.0505021026,0.04233822454520264,0.37924035031946324
2005-11,433344.1151793445,0.013151307314085203,0.3118301395899927
2005-12,443730.5508698704,0.023968101392648045,0.32620097380607005
2006-01,442417.9296220684,-0.0029581493661610114,0.3018514618977628
2006-02,436481.0756357105,-0.01341910801723023,0.24104402775777722
2006-03,416349.8010134702,-0.04612175818372011,0.17583096755324878
2006-04,411200.3851406976,-0.012368003684012918,0.10132920438151993
2006-05,415433.3043656543,0.010294054621345694,0.11203717308410188
2006-06,429111.8956647232,0.0329260826113964,0.13884765003443889
2006-07,433991.1735332753,0.011370642291316013,0.12039890899450434
2006-08,437339.4334717163,0.0077150415552962315,0.10397563206840466
2006-09,437222.8884589971,-0.0002664864034647163,0.06549878653262353
2006-10,445621.0034370233,0.01920785759324173,0.04185446711785579
2006-11,442945.6945894359,-0.006003551957724396,0.022156939655492147
2006-12,439395.6671739541,-0.008014588376961895,-0.00976918016444528
2007-01,439972.9890862448,0.0013138998752624254,-0.005526314310797087
2007-02,428788.6325998226,-0.025420552542669395,-0.017623772175424324
2007-03,442285.718696943,0.03147724792815798,0.062293575306965776
2007-04,454939.1113150342,0.028609091551430765,0.10636839787825303
2007-05,444213.14130604,-0.023576715525710723,0.06927667242358204
2007-06,444811.435083062,0.0013468619484398037,0.03658612025662711
2007-07,438335.2435244106,-0.014559408881748004,0.010009581429430092
2007-08,441824.1483459787,0.007959443994317583,0.010254540366190001
2007-09,444152.3068067447,0.005269423297666664,0.01584870904670721
